P-value,Test,Generator,n
0.42762337448192045,Chi,Marsagli,1000
0.146793087308571,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.5890636977324295,poker,RC,1000
0.9767259304855863,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
0.9815273941839517,KS,GLCG,1000
0.22407815842361478,Chi,GLCG,1000
0.7716705035436164,Furier,GLCG,1000
0.9965656336592598,KS,RC,1000
0.005202814214328444,Chi,RC,1000
0.08165851558521563,Furier,RC,1000
0.8758547804358809,KS,Ziff,1000
0.23594662229621755,Chi,Ziff,1000
1.0,Furier,Ziff,1000
0.22461040868211135,KS,Marsagli,1000
0.7130869264707258,Chi,Marsagli,1000
0.5616577150130424,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.7536539717016865,poker,RC,1000
0.9644783232690741,poker,Ziff,1000
0.6975746165954975,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.24573870033984926,Furier,GLCG,1000
0.95959479372042,KS,RC,1000
0.7195160410502985,Chi,RC,1000
1.0,Furier,RC,1000
0.9336899580501695,KS,Ziff,1000
0.019657232803107383,Chi,Ziff,1000
0.5616577150130424,Furier,Ziff,1000
0.5676853019304186,KS,Marsagli,1000
0.862505611392951,Chi,Marsagli,1000
1.0,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9461764679689231,poker,RC,1000
0.742088251428605,poker,Ziff,1000
0.9999946943818305,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.7716705035436164,Furier,GLCG,1000
0.9646501766131395,KS,RC,1000
0.007189425890393841,Chi,RC,1000
0.24573870033984926,Furier,RC,1000
0.06189494617779512,KS,Ziff,1000
0.9343814971975498,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.43967558185117905,KS,Marsagli,1000
0.8177492112731665,Chi,Marsagli,1000
0.009008945293330538,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.8053496000910576,poker,RC,1000
0.6975746165954975,poker,Ziff,1000
0.9999946943818305,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.146793087308571,Furier,GLCG,1000
0.9833171127204576,KS,RC,1000
0.09405103275477567,Chi,RC,1000
1.0,Furier,RC,1000
0.0241791109970525,KS,Ziff,1000
0.7094159661279696,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.18246273778895128,KS,Marsagli,1000
0.9641684057683519,Chi,Marsagli,1000
1.0,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.7089874559115152,poker,RC,1000
0.742088251428605,poker,Ziff,1000
0.9644783232690741,poker,Marsagli,1000
0.9999999999999999,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.7716705035436164,Furier,GLCG,1000
0.9937065710284811,KS,RC,1000
0.02177543898917067,Chi,RC,1000
0.7716705035436164,Furier,RC,1000
0.1381128896132462,KS,Ziff,1000
0.6620249616338287,Chi,Ziff,1000
0.38398816339805664,Furier,Ziff,1000
0.9221391362647501,KS,Marsagli,1000
0.2515477847166422,Chi,Marsagli,1000
0.7716705035436164,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.7089874559115152,poker,RC,1000
0.9999946943818305,poker,Ziff,1000
0.9644783232690741,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.08165851558521563,Furier,GLCG,1000
0.9959366097630475,KS,RC,1000
0.0010517281626243324,Chi,RC,1000
0.04222117524716241,Furier,RC,1000
0.7622821021882982,KS,Ziff,1000
0.29788909961210175,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.25439367191352324,KS,Marsagli,1000
0.9824769036935779,Chi,Marsagli,1000
0.5616577150130424,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.11735198988457185,poker,RC,1000
0.9767259304855863,poker,Ziff,1000
0.00985202843517019,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
1.0,Furier,GLCG,1000
0.9558842211761536,KS,RC,1000
